"","Degree","Closeness","Betweennes","Eigenvector","SS","Node","Partition","Country","Level"
"text1273",1,0.00485436893203883,0,0.0740587038555754,"text127","text127","Program","Colombia","Master"
"text1443",1,0.00485436893203883,0,0.0740587038555754,"text144","text144","Program","Colombia","Master"
"text1673",1,0.00485436893203883,0,0.0740587038555754,"text167","text167","Program","Colombia","Master"
"text2232",1,0.00485436893203883,0,0.0740587038555754,"text223","text223","Program","Colombia","Master"
"text4113",0,NA,0,1.39488488135581e-18,"text41","text41","Program","Colombia","Master"
"text6312",0,NA,0,1.39488488135581e-18,"text63","text63","Program","Colombia","Master"
"text1343",0,NA,0,1.39488488135581e-18,"text134","text134","Program","Colombia","Master"
"science11",27,0.0222222222222222,391.469960950187,1,"science","science","Skill","Colombia","PhD"
"active_listening11",13,0.0133333333333333,49.7459270013874,0.59378517855889,"active_listening","active_listening","Skill","Colombia","PhD"
"learning_strategy11",10,0.0123456790123457,26.2497044243699,0.496647473014551,"learning_strategy","learning_strategy","Skill","Colombia","PhD"
"speaking11",9,0.0117647058823529,26.8582809847206,0.344330641187404,"speaking","speaking","Skill","Colombia","PhD"
"critical_thinking11",9,0.0120481927710843,19.9806026587357,0.455769130109227,"critical_thinking","critical_thinking","Skill","Colombia","PhD"
"monitoring11",8,0.0114942528735632,14.4394218425548,0.400398769323578,"monitoring","monitoring","Skill","Colombia","PhD"
"active_learning11",7,0.0112359550561798,11.8777764441303,0.307871456292645,"active_learning","active_learning","Skill","Colombia","PhD"
"text928",6,0.0142857142857143,20.3579689136477,0.427987197931568,"text9","text9","Program","Colombia","PhD"
"text2313",6,0.0142857142857143,39.1187878498785,0.382969454634533,"text23","text23","Program","Colombia","PhD"
"text3713",6,0.0142857142857143,18.7873515931081,0.413095056730026,"text37","text37","Program","Colombia","PhD"
"text6612",6,0.0142857142857143,16.6380985412618,0.45239916943534,"text66","text66","Program","Colombia","PhD"
"text1243",6,0.0142857142857143,23.1939089213524,0.402036453845249,"text124","text124","Program","Colombia","PhD"
"text5712",5,0.0138888888888889,9.39538316606193,0.40506457415306,"text57","text57","Program","Colombia","PhD"
"text3013",4,0.0135135135135135,7.76188133047199,0.316459959817256,"text30","text30","Program","Colombia","PhD"
"text3413",4,0.0135135135135135,5.51483902092968,0.350022380893414,"text34","text34","Program","Colombia","PhD"
"text5312",4,0.0135135135135135,7.44583303823948,0.30310659119826,"text53","text53","Program","Colombia","PhD"
